"date,ind,rain,ind,temp,ind,wetb,dewpt,vappr,rhum,msl,ind,wdsp,ind,wddir,ww,w,sun,vis,clht,clamt"
"02-mar-2018 19:00,0,1.0,1,-0.6,1,-0.6,-0.7,5.8,100,993.7,2,27,2,80,71,72,0.0,600,4,8"
"02-mar-2018 20:00,0,1.0,1,-0.8,1,-0.8,-0.9,5.8,100,993.7,2,27,2,90,71,77,0.0,600,5,8"
"02-mar-2018 21:00,0,1.0,1,-0.6,1,-0.6,-0.6,5.8,100,993.5,2,28,2,90,71,77,0.0,600,5,8"
"02-mar-2018 22:00,2,0.0,1,-0.5,1,-0.5,-0.5,5.9,100,993.4,2,23,2,90,71,77,0.0,600,5,8"
"02-mar-2018 23:00,0,1.0,1,-0.8,1,-0.8,-0.7,5.8,100,993.3,2,24,2,90,71,77,0.0,2000,7,8"
"03-mar-2018 00:00,2,0.0,1,-0.7,1,-0.7,-0.7,5.8,100,993.3,2,23,2,100,71,77,0.0,1500,8,8"
"03-mar-2018 01:00,0,1.0,1,-0.8,1,-0.8,-0.8,5.8,100,993.1,2,23,2,90,71,77,0.0,3000,8,8"
"03-mar-2018 02:00,2,0.0,1,-0.6,1,-0.7,-1.0,5.7,98,992.8,2,22,2,90,70,72,0.0,7000,12,8"
"03-mar-2018 03:00,2,0.0,1,-0.3,1,-0.4,-0.5,5.9,98,992.2,2,20,2,90,70,72,0.0,11000,12,8"
"03-mar-2018 04:00,2,0.0,1,-0.2,1,-0.3,-0.4,5.9,98,991.6,2,20,2,90,70,72,0.0,7000,12,8"
"03-mar-2018 05:00,2,0.0,0,0.0,1,-0.2,-0.6,5.9,96,991.1,2,20,2,80,22,72,0.0,11000,10,8"
"03-mar-2018 06:00,2,0.0,0,0.1,0,0.0,-0.3,6.0,98,991.0,2,21,2,80,70,72,0.0,8000,10,8"
"03-mar-2018 07:00,2,0.0,0,0.3,0,0.1,-0.2,6.0,96,990.9,2,22,2,80,22,72,0.0,7000,10,8"
"03-mar-2018 08:00,2,0.0,0,0.3,0,0.0,-0.5,5.9,94,990.9,2,23,2,80,22,72,0.0,6000,12,8"
"03-mar-2018 09:00,0,0.0,0,0.3,0,0.1,-0.3,6.0,96,991.1,2,23,2,80,10,72,0.0,6000,12,8"
"03-mar-2018 10:00,0,0.1,0,0.6,0,0.4,0.0,6.1,96,991.6,2,21,2,80,70,72,0.0,4500,10,8"
"03-mar-2018 11:00,2,0.0,0,0.6,0,0.3,-0.1,6.0,94,991.8,2,21,2,80,70,72,0.0,3500,10,8"
"03-mar-2018 12:00,2,0.0,0,0.7,0,0.5,0.2,6.2,96,992.1,2,18,2,90,26,72,0.0,3500,11,8"
"03-mar-2018 13:00,0,0.0,0,1.0,0,0.7,0.2,6.2,94,992.3,2,16,2,90,10,22,0.0,3800,10,8"
"03-mar-2018 14:00,0,0.0,0,1.5,0,1.0,0.2,6.2,91,992.0,2,15,2,80,10,22,0.0,4000,12,7"
"03-mar-2018 15:00,0,0.0,0,1.7,0,1.2,0.4,6.3,91,991.9,2,16,2,80,10,22,0.0,6000,9,8"
"03-mar-2018 16:00,0,0.0,0,2.2,0,1.6,0.5,6.4,89,991.6,2,15,2,90,10,22,0.0,6000,8,8"
