"message","timestamp","unique_key"
"KBP, [01:04:07],  5","03/05/2018, 01:16:44","03/05/2018, 01:16:442764"
"DL, [01:01:02:03:03],   0","03/05/2018, 01:16:46","03/05/2018, 01:16:462765"
"DL, [01:01:02:07:04],   0","03/05/2018, 01:16:47","03/05/2018, 01:16:472766"
"DL, [01:01:01:05:04],   0","03/05/2018, 01:16:48","03/05/2018, 01:16:482767"
"KBR, [01:04:07],  5","03/05/2018, 01:16:49","03/05/2018, 01:16:492768"
"KBP, [01:04:17],  5","26/06/2018, 07:11:24","26/06/2018, 07:11:2413"
"DL, [01:01:02:08:03],   0","26/06/2018, 07:11:25","26/06/2018, 07:11:2514"
"KBR, [01:04:17],  5","26/06/2018, 07:11:26","26/06/2018, 07:11:2615"
"KBP, [01:05:17], 24","30/05/2018, 01:08:30","30/05/2018, 01:08:30345"
"KBH, [01:05:17], 24","30/05/2018, 01:08:31","30/05/2018, 01:08:31346"
"KBR, [01:05:17], 24","30/05/2018, 01:08:33","30/05/2018, 01:08:33347"
"DL, [01:01:00:04:03],  14","30/05/2018, 01:08:34","30/05/2018, 01:08:34348"
"DL, [01:01:00:07:04],  14","30/05/2018, 01:08:35","30/05/2018, 01:08:35349"
"DL, [01:01:01:07:04],   0","30/05/2018, 01:08:36","30/05/2018, 01:08:36350"
"KBP, [01:05:17], 24","30/05/2018, 01:08:38","30/05/2018, 01:08:38351"
"KBR, [01:05:17], 24","30/05/2018, 01:08:39","30/05/2018, 01:08:39352"
"DL, [01:01:00:04:03],  17","30/05/2018, 01:08:40","30/05/2018, 01:08:40353"
"DL, [01:01:00:07:04],  17","30/05/2018, 01:08:42","30/05/2018, 01:08:42354"
"DL, [01:01:01:07:04],   0","30/05/2018, 01:08:43","30/05/2018, 01:08:43355"
"KBP, [01:04:01],  1","15/06/2018, 01:23:32","15/06/2018, 01:23:3235"
"DL, [01:01:02:01:03], 100","15/06/2018, 01:23:33","15/06/2018, 01:23:3336"
